Number,Pokémon,Type 1,Type 2,Location
1,Bulbasaur,Grass,Poison,Wild: 114
2,Ivysaur,Grass,Poison,Evolve Bulbasaur
3,Venusaur,Grass,Poison,Evolve Ivysaur
4,Charmander,Fire,,Wild: Jagged Pass
5,Charmeleon,Fire,,Evolve Charmander
6,Charizard,Fire,Flying,Evolve Charmeleon
7,Squirtle,Water,,Surf: Petalburg
8,Wartortle,Water,,Evolve Squirtle
9,Blastoise,Water,,Evolve Wartortle
10,Caterpie,Bug,,"Wild: 103, Petalburg Woods"
11,Metapod,Bug,,Evolve Caterpie
12,Butterfree,Bug,Psychic,Wild: 127
13,Weedle,Bug,Poison,"Wild: 103, Petalburg Woods"
14,Kakuna,Bug,Poison,Evolve Weedle
15,Beedrill,Bug,Poison,Wild: 127
16,Pidgey,Flying,,Wild: 104
17,Pidgeotto,Flying,,Wild: 128
18,Pidgeot,Flying,,Wild: 128
19,Rattata,Normal,,"Wild: Littleroot, 110"
20,Raticate,Normal,,Evolve Rattata
21,Spearow,Normal,Flying,"Wild: Littleroot, 103"
22,Fearow,Normal,Flying,Wild: 127
23,Ekans,Poison,,"Wild: 110, Pacifidlog"
24,Arbok,Poison,Dark,Evolve Ekans
25,Pikachu,Electric,,"Wild: 110, Safari Zone SW, New Mauville"
26,Raichu,Electric,,Wild: New Mauville
27,Sandshrew,Ground,,"Wild: 106, 111, 113, Seafloor Cavern, Mirage Tower"
28,Sandslash,Ground,,Evolve Sandshrew
29,Nidoran,Poison,,"Wild: 116, Meteor Falls 1F"
30,Nidorina,Poison,,"Wild: Meteor Falls 1F, Safari Zone SE"
31,Nidoqueen,Poison,Ground,Wild: Seafloor Cavern
32,Nidoran,Poison,,"Wild: 116, Meteor Falls 1F"
33,Nidorino,Poison,,"Wild: Meteor Falls 1F, Safari Zone SE"
34,Nidoking,Poison,Ground,Wild: Seafloor Cavern
35,Clefairy,Fairy,,"Wild: 112, 115"
36,Clefable,Fairy,,Evolve Clefairy
37,Vulpix,Fire,Fairy,"Wild: Dewford, 106, Mt. Pyre Exterior"
38,Ninetales,Fire,Fairy,Evolve Vulpix
39,Jigglypuff,Normal,Fairy,Wild: 112
40,Wigglytuff,Normal,Fairy,Evolve Jigglypuff
41,Zubat,Poison,Flying,"Wild: Granite Cave All Floors, Meteor Falls, Shoal Cave Low Tide, Shoal Cave Ice Room, Seafloor Cavern, Cave of Origin"
42,Golbat,Poison,Flying,"Wild: Meteor Falls, Shoal Cave Ice Room, Seafloor Cavern, Victory Road 1F/B1F/B2F, Cave of Origin, Sky Pillar"
43,Oddish,Grass,Poison,"Wild: 102, Pacifidlog"
44,Gloom,Grass,Poison,Wild: 121
45,Vileplume,Grass,Poison,Wild: 127
46,Paras,Bug,Grass,"Wild: 113, 115"
47,Parasect,Bug,Ghost,"Wild: 119, Safari Zone S"
48,Venonat,Bug,Poison,Wild: 118
49,Venomoth,Bug,Poison,Wild: 120
50,Diglett,Ground,,"Wild: Granite Cave 1F, Fiery Path"
51,Dugtrio,Ground,,Evolve Diglett
52,Meowth,Normal,,"Wild: 104, Safari Zone S"
53,Persian,Normal,,Evolve Meowth
54,Psyduck,Water,,"Wild: 104, 106, 118. Fish: 109 (GR). Surf: Safari Zone NW. Pacifidlog Scuba Safari"
55,Golduck,Water,,Evolve Psyduck
56,Mankey,Fighting,,"Wild: Rustboro, Pacifidlog, Jagged Pass"
57,Primeape,Fighting,,Wild: Safari Zone SE
58,Annihilape,Fighting,Ghost,Evolve Primeape
59,Growlithe,Fire,,"Wild: Rustboro, 106, Fiery Path"
60,Arcanine,Fire,,Evolve Growlithe
61,Poliwag,Water,,Wild: 104. Pacifidlog Scuba Safari
62,Poliwhirl,Water,,"Wild: Safari Zone SE, Shoal Cave Low Tide"
63,Poliwrath,Water,Fighting,Evolve Poliwhirl
